Impact Metrics File
state-of-health,initial value,final value,degradation cost ($)
subfleet-49,100.0,99.79747396195715,12.151562282570865
subfleet-50,100.0,99.99377941220251,0.37323526784916794
subfleet-51,100.0,99.98847873254434,0.6912760473397839
subfleet-52,100.0,99.97546746442424,1.4719521345455178
subfleet-53,100.0,99.95778013626803,2.5331918239183437
subfleet-54,100.0,99.98846368748254,0.6921787510478339
subfleet-55,100.0,99.98900530193161,0.6596818841032359
subfleet-56,100.0,99.95465120780327,2.7209275318040227
subfleet-57,100.0,99.98099199908431,1.1404800549414063
subfleet-58,100.0,99.98424122375337,0.9455265747976682
subfleet-59,100.0,99.9886339011977,0.6819659281379131
subfleet-60,100.0,99.95419690246433,2.748185852140068
subfleet-61,100.0,99.9916101645602,0.5033901263880125
subfleet-62,100.0,99.98157146747788,1.1057119513273506
subfleet-63,100.0,99.98589571029152,0.8462573825090658
subfleet-64,100.0,99.98832128393005,0.700722964197098
subfleet-65,100.0,99.99021244264534,0.5872534412793584
subfleet-66,100.0,99.98025275787,1.1848345277996941
subfleet-67,100.0,99.9918095627739,0.4914262335663011
subfleet-68,100.0,99.98157677689865,1.1053933860810616
subfleet-69,100.0,99.99465165964772,0.3209004211370825
subfleet-70,100.0,99.97604420662978,1.4373476022132081
subfleet-71,100.0,99.99087706339176,0.5473761964941559
subfleet-72,100.0,99.97082711377513,1.7503731734922212
subfleet-73,100.0,99.98348007952144,0.9911952287134795
subfleet-74,100.0,99.99412922111816,0.35224673291054387
subfleet-75,100.0,99.99354195531293,0.3874826812239007
subfleet-76,100.0,99.95299957739053,2.8200253565682942
subfleet-77,100.0,99.97667637311066,1.3994176133601854
subfleet-78,100.0,99.99772343635077,0.13659381895394063
subfleet-79,100.0,99.9889736476186,0.6615811428844154
subfleet-80,100.0,99.98781821121003,0.7309073273984268
subfleet-81,100.0,99.94953920505971,3.027647696417546
subfleet-82,100.0,99.99647517556974,0.21148946581547534
subfleet-83,100.0,99.97363832476331,1.5817005142011453
subfleet-84,100.0,99.95524315002655,2.6854109984071783
subfleet-85,100.0,99.97853606828491,1.2878359029053854
subfleet-86,100.0,99.98445110908018,0.9329334551890156
subfleet-87,100.0,99.9588739104102,2.4675653753877214
subfleet-88,100.0,99.98068651605574,1.1588090366555548
subfleet-89,100.0,99.98761806787006,0.7429159277964459
subfleet-90,100.0,99.97404583477514,1.557249913491603
subfleet-91,100.0,99.97885535148428,1.2686789109429242
subfleet-92,100.0,99.95199154952081,2.8805070287512535
subfleet-93,100.0,99.99020798922668,0.5875206463994687
subfleet-94,100.0,99.97426825914842,1.5439044510949884
subfleet-95,100.0,99.99942558369261,0.034464978443224936
subfleet-96,100.0,99.98440013621344,0.9359918271937318
subfleet-97,100.0,99.97796245946223,1.3222524322659979
subfleet-98,100.0,99.97409723584978,1.5541658490130317
subfleet-99,100.0,99.99565457754159,0.260725347504831
Total degradation cost ($):,149.9940432765075
P_togrid/P_base ratio:,0.7961165048543689
Energy Impacts (kWh):,979900.1666666664
